Type,Group,CollectionTemp,RunDate,Label,Index,Time,28,32,40,N2/Ar,O2/Ar,Notes
Standard,2,30,4/16/2024,Calibrate,5260,11:32:50 AM,1.55E-10,7.22E-11,5.65E-12,27.33111,12.76854,
Standard,2,30,4/16/2024,Calibrate,5264,11:32:57 AM,1.55E-10,7.22E-11,5.66E-12,27.32597,12.76621,
Standard,2,30,4/16/2024,Calibrate,5269,11:33:04 AM,1.55E-10,7.22E-11,5.66E-12,27.32707,12.76582,
Sample,2,20,4/16/2024,Openwater_3_T1_1,5560,11:40:33 AM,1.75E-10,6.96E-11,6.53E-12,26.75424,10.65801,
Sample,2,20,4/16/2024,Openwater_3_T1_2,5564,11:40:39 AM,1.75E-10,6.96E-11,6.53E-12,26.7499,10.65531,
Sample,2,20,4/16/2024,Openwater_3_T1_3,5565,11:40:41 AM,1.75E-10,6.96E-11,6.53E-12,26.74677,10.65388,
Sample,2,20,4/16/2024,Openwater_4_T1_1,5709,11:44:23 AM,1.77E-10,6.10E-11,6.61E-12,26.7237,9.239438,
Sample,2,20,4/16/2024,Openwater_4_T1_2,5723,11:44:45 AM,1.77E-10,6.10E-11,6.61E-12,26.71687,9.234691,
Sample,2,20,4/16/2024,Openwater_4_T1_3,5727,11:44:51 AM,1.77E-10,6.10E-11,6.61E-12,26.72569,9.234219,
Sample,2,20,4/16/2024,SAVa_IN_T1_1,5876,11:48:41 AM,1.91E-10,6.17E-11,6.85E-12,27.81789,8.998558,
Sample,2,20,4/16/2024,SAVa_IN_T1_2,5885,11:48:55 AM,1.91E-10,6.17E-11,6.86E-12,27.81196,8.999701,
Sample,2,20,4/16/2024,SAVa_IN_T1_3,5895,11:49:10 AM,1.90E-10,6.16E-11,6.85E-12,27.80643,8.995637,
Standard,3,20,4/16/2024,Calibrate,6046,11:53:03 AM,1.75E-10,8.23E-11,6.56E-12,26.69787,12.54713,
Standard,3,20,4/16/2024,Calibrate,6049,11:53:08 AM,1.75E-10,8.23E-11,6.56E-12,26.69432,12.55305,
Standard,3,20,4/16/2024,Calibrate,6052,11:53:12 AM,1.75E-10,8.23E-11,6.56E-12,26.6935,12.55881,
Standard,3,30,4/16/2024,Calibrate,6200,11:57:01 AM,1.53E-10,7.10E-11,5.58E-12,27.3386,12.71255,
Standard,3,30,4/16/2024,Calibrate,6207,11:57:11 AM,1.52E-10,7.09E-11,5.58E-12,27.33986,12.71602,
Standard,3,30,4/16/2024,Calibrate,6213,11:57:21 AM,1.52E-10,7.09E-11,5.58E-12,27.33139,12.71304,
Sample,3,20,4/16/2024,SAV_5_T1_1,6372,12:01:26 PM,1.72E-10,6.18E-11,6.48E-12,26.54488,9.538879,
Sample,3,20,4/16/2024,SAV_5_T1_2,6383,12:01:43 PM,1.72E-10,6.17E-11,6.48E-12,26.54299,9.526903,
Sample,3,20,4/16/2024,SAV_5_T1_3,6389,12:01:52 PM,1.72E-10,6.17E-11,6.48E-12,26.54845,9.521806,
Sample,3,20,4/16/2024,SAV_6_T1_1,6535,12:05:38 PM,1.73E-10,6.93E-11,6.47E-12,26.70965,10.69981,
Sample,3,20,4/16/2024,SAV_6_T1_2,6541,12:05:47 PM,1.73E-10,6.93E-11,6.48E-12,26.70736,10.7038,
Sample,3,20,4/16/2024,SAV_6_T1_3,6542,12:05:48 PM,1.73E-10,6.94E-11,6.48E-12,26.70376,10.70346,
Sample,3,20,4/16/2024,SAV_7_T1_1,6717,12:10:18 PM,1.72E-10,5.69E-11,6.47E-12,26.57815,8.799876,
Sample,3,20,4/16/2024,SAV_7_T1_2,6724,12:10:29 PM,1.72E-10,5.69E-11,6.47E-12,26.57404,8.793129,
Sample,3,20,4/16/2024,SAV_7_T1_3,6730,12:10:38 PM,1.72E-10,5.69E-11,6.47E-12,26.57933,8.788293,
Standard,4,20,4/16/2024,Calibrate,6893,12:14:50 PM,1.73E-10,8.13E-11,6.48E-12,26.62804,12.54359,
Standard,4,20,4/16/2024,Calibrate,6895,12:14:53 PM,1.73E-10,8.13E-11,6.48E-12,26.62673,12.54614,
Standard,4,20,4/16/2024,Calibrate,6906,12:15:10 PM,1.72E-10,8.14E-11,6.48E-12,26.62324,12.56669,
Standard,4,30,4/16/2024,Calibrate,7060,12:19:07 PM,1.51E-10,7.01E-11,5.51E-12,27.35146,12.71617,
Standard,4,30,4/16/2024,Calibrate,7070,12:19:23 PM,1.51E-10,7.01E-11,5.51E-12,27.35154,12.71677,
Standard,4,30,4/16/2024,Calibrate,7074,12:19:29 PM,1.51E-10,7.01E-11,5.51E-12,27.34466,12.71511,
Sample,4,20,4/16/2024,SAV_8_T1_1,7242,12:23:48 PM,1.70E-10,5.92E-11,6.39E-12,26.59677,9.262355,
Sample,4,20,4/16/2024,SAV_8_T1_2,7247,12:23:56 PM,1.70E-10,5.91E-11,6.39E-12,26.60275,9.259472,
Sample,4,20,4/16/2024,SAV_8_T1_3,7253,12:24:05 PM,1.70E-10,5.91E-11,6.39E-12,26.60061,9.250937,
Sample,4,20,4/16/2024,SAVb_IN_T1_1,7404,12:27:58 PM,1.72E-10,6.44E-11,6.45E-12,26.68355,9.985743,
Sample,4,20,4/16/2024,SAVb_IN_T1_2,7411,12:28:09 PM,1.72E-10,6.44E-11,6.45E-12,26.68318,9.988517,
Sample,4,20,4/16/2024,SAVb_IN_T1_3,7417,12:28:18 PM,1.72E-10,6.44E-11,6.44E-12,26.69078,9.992708,
Sample,4,20,4/16/2024,SAV_9_T1_1,7541,12:31:30 PM,1.71E-10,6.15E-11,6.38E-12,26.73424,9.634271,
Sample,4,20,4/16/2024,SAV_9_T1_2,7551,12:31:45 PM,1.71E-10,6.15E-11,6.38E-12,26.73392,9.632044,
Sample,4,20,4/16/2024,SAV_9_T1_3,7558,12:31:56 PM,1.71E-10,6.14E-11,6.38E-12,26.73651,9.63234,
Standard,5,20,4/16/2024,Calibrate,7717,12:36:01 PM,1.71E-10,8.07E-11,6.41E-12,26.63876,12.595,
Standard,5,20,4/16/2024,Calibrate,7730,12:36:21 PM,1.71E-10,8.08E-11,6.40E-12,26.64307,12.61364,
Standard,5,20,4/16/2024,Calibrate,7735,12:36:29 PM,1.71E-10,8.08E-11,6.40E-12,26.63547,12.61682,
Standard,5,30,4/16/2024,Calibrate,7883,12:40:17 PM,1.48E-10,6.92E-11,5.44E-12,27.28472,12.71376,
Standard,5,30,4/16/2024,Calibrate,7885,12:40:20 PM,1.48E-10,6.91E-11,5.44E-12,27.28966,12.71507,
Standard,5,30,4/16/2024,Calibrate,7896,12:40:37 PM,1.48E-10,6.91E-11,5.44E-12,27.28954,12.71677,
Sample,5,20,4/16/2024,SAV_10_T1_1,8150,12:47:09 PM,1.70E-10,6.38E-11,6.35E-12,26.83045,10.03722,
Sample,5,20,4/16/2024,SAV_10_T1_2,8156,12:47:19 PM,1.70E-10,6.37E-11,6.35E-12,26.82629,10.02753,
Sample,5,20,4/16/2024,SAV_10_T1_3,8160,12:47:25 PM,1.70E-10,6.37E-11,6.35E-12,26.82758,10.02412,
Sample,5,20,4/16/2024,SAV_11_T1_1,8251,12:49:45 PM,1.70E-10,6.20E-11,6.34E-12,26.86226,9.781436,
Sample,5,20,4/16/2024,SAV_11_T1_2,8257,12:49:54 PM,1.70E-10,6.20E-11,6.34E-12,26.86334,9.778286,
Sample,5,20,4/16/2024,SAV_11_T1_3,8260,12:49:59 PM,1.70E-10,6.20E-11,6.34E-12,26.86623,9.77637,
Sample,5,20,4/16/2024,SAV_12_T1_1,8370,12:52:49 PM,1.71E-10,5.81E-11,6.38E-12,26.83727,9.098604,
Sample,5,20,4/16/2024,SAV_12_T1_2,8374,12:52:55 PM,1.71E-10,5.80E-11,6.38E-12,26.84636,9.09829,
Sample,5,20,4/16/2024,SAV_12_T1_3,8380,12:53:04 PM,1.71E-10,5.80E-11,6.38E-12,26.84228,9.092257,
Standard,6,20,4/16/2024,Calibrate,8572,12:58:00 PM,1.69E-10,8.00E-11,6.33E-12,26.70852,12.63306,
Standard,6,20,4/16/2024,Calibrate,8580,12:58:13 PM,1.69E-10,8.00E-11,6.33E-12,26.69761,12.63729,
Standard,6,20,4/16/2024,Calibrate,8583,12:58:17 PM,1.69E-10,8.00E-11,6.33E-12,26.70067,12.6404,
Standard,6,30,4/16/2024,Calibrate,8721,1:01:50 PM,1.46E-10,6.85E-11,5.36E-12,27.30455,12.77063,
Standard,6,30,4/16/2024,Calibrate,8724,1:01:55 PM,1.46E-10,6.85E-11,5.36E-12,27.29753,12.76663,
Standard,6,30,4/16/2024,Calibrate,8739,1:02:18 PM,1.46E-10,6.84E-11,5.36E-12,27.30412,12.77128,
Sample,6,20,4/16/2024,Hardwoods_IN_T1_1,9015,1:09:24 PM,1.70E-10,6.00E-11,6.35E-12,26.83747,9.454938,
Sample,6,20,4/16/2024,Hardwoods_IN_T1_2,9021,1:09:33 PM,1.70E-10,6.00E-11,6.35E-12,26.8329,9.451875,
Sample,6,20,4/16/2024,Hardwoods_IN_T1_3,9024,1:09:38 PM,1.70E-10,6.00E-11,6.35E-12,26.8267,9.448721,
Sample,6,20,4/16/2024,Hardwoods_13_T1_1,9188,1:13:51 PM,1.68E-10,4.94E-11,6.28E-12,26.81594,7.873327,
Sample,6,20,4/16/2024,Hardwoods_13_T1_2,9194,1:14:00 PM,1.68E-10,4.94E-11,6.28E-12,26.81536,7.869526,
Sample,6,20,4/16/2024,Hardwoods_13_T1_3,9201,1:14:11 PM,1.68E-10,4.94E-11,6.28E-12,26.81787,7.867737,
Sample,6,20,4/16/2024,Hardwoods_14_T1_1,9371,1:18:33 PM,1.68E-10,5.78E-11,6.26E-12,26.81525,9.240508,
Sample,6,20,4/16/2024,Hardwoods_14_T1_2,9381,1:18:49 PM,1.68E-10,5.79E-11,6.26E-12,26.8062,9.239364,
Sample,6,20,4/16/2024,Hardwoods_14_T1_3,9385,1:18:55 PM,1.68E-10,5.79E-11,6.26E-12,26.80501,9.239575,
Standard,7,20,4/16/2024,Calibrate,9582,1:23:59 PM,1.67E-10,7.89E-11,6.25E-12,26.69224,12.62217,
Standard,7,20,4/16/2024,Calibrate,9589,1:24:10 PM,1.67E-10,7.89E-11,6.25E-12,26.69823,12.63012,
Standard,7,20,4/16/2024,Calibrate,9592,1:24:14 PM,1.67E-10,7.89E-11,6.25E-12,26.70026,12.63337,
Standard,7,30,4/16/2024,Calibrate,9726,1:27:41 PM,1.45E-10,6.76E-11,5.30E-12,27.34084,12.75835,
Standard,7,30,4/16/2024,Calibrate,9741,1:28:04 PM,1.45E-10,6.75E-11,5.30E-12,27.32894,12.75636,
Standard,7,30,4/16/2024,Calibrate,9747,1:28:14 PM,1.45E-10,6.75E-11,5.29E-12,27.32938,12.75726,
