site,year,date,method,sample_point,habitat,lat,long,easting,northing,amb_nox_mgL,amb_drp_mgL,amb_nh3_mgL,in_nox_mgL,in_drp_mgL,in_nh3_mgL,flux_drp_mgm2d,flux_nox_mgm2d,flux_nh3_mgm2d,soil_id,water_id,water_depth,phys_wtemp_C,phys_pH,phys_do_mgL,phys_do_pct,phys_spec_cond,phys_turb_fnu,soil_TP_mg_kg,soil_TN_mg_kg,M3_P_mg_kg,M3_Fe_mg_kg,M3_Al_mg_kg,soil_SPSC,M3_Ca_mg_kg,M3_Mg_mg_kg,M3_K_mg_kg,WE_srp_mg_kg,WE_nh3_mg_kg,WE_nox_mg_kg,soil_pH,ECw_uS_cm,bulk_density_g_cm3,N2_flux_mg_m2_d,O2_flux_mg_m2_d,TOC_mg_kg,resin_accum_top_drp_mgm2d,resin_accum_bottom_drp_mgm2d,resin_accum_top_nox_mgm2d,resin_accum_bottom_nox_mgm2d,resin_accum_top_nh3_mgm2d,resin_accum_bottom_nh3_mgm2d
MAGM,2023,20230731,ic,22,fav,41.61056833,-83.13472667,322128,4608740,0.00615,0.01437,0.01946,0.015965,0.008673333,0.02942,0.446528,2.599930667,10.982336,S02661,W04136,86,22,NA,0.28,3.1,26.7,12.66,919.6992033,8129.205236,50.25836332,2351.896225,505.8366017,138.0134278,9722.309604,705.0809223,199.6102796,0.1,175.0801207,13.4530919,7.908,5218,0.351841767,-23.77239998,-226.3783502,138278,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,23,fav,41.610228,-83.132421,322319,4608697,0.00615,0.02498,0.04091,0.015965,0.008673333,0.02942,0.213728,2.375546667,32.58693333,S02662,W04137,78,23,NA,0.29,3.6,310.45,24.8,769.0163547,9001.708115,64.82538218,2491.49801,83.30789986,82.66181021,13047.01863,706.9790627,218.7401414,0.1,205.923016,33.23457708,7.908,5761,0.405298389,-19.54279786,-269.349133,146440,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,24,fav,41.61188,-83.131599,322392,4608879,0.00615,0.02377,0.02072,0.015965,0.008673333,0.02942,-0.330186667,2.425632,-0.446944,S02663,W04138,79,22.5,NA,0.23,2.8,654,35.95,633.1616789,5211.028504,22.12212709,1975.13224,456.3960516,139.6165787,9428.309092,645.9958268,116.6991461,0.1,74.18852429,39.50935828,7.724,5311,0.256591786,-5.876099008,-307.4814117,104448,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,25,hardwoods,41.611892,-83.129617,322557,4608876,0.00615,0.16631,0.31082,0.013345,0.02813,0.05173,4.141216,1.176213333,55.89962667,S02664,W04139,54,23.9,NA,0.39,5.1,370.8,19.62,684.7236474,4409.399293,50.79458656,2189.485067,181.9680917,91.30168383,7096.572202,423.8994679,114.3336633,0.1,51.9269267,19.90293116,7.816,4911,0.556920808,-22.82951081,-366.8262076,115000,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,26,hardwoods,41.611452,-83.129667,322552,4608828,0.02836,0.04984,0.03389,0.013345,0.02813,0.05173,11.117568,0.525450667,151.7574613,S02665,W04140,59,24.7,NA,0.91,10.6,325.1,15.73,828.5202431,5995.94642,115.1883408,3223.689877,290.0901684,96.57256922,9278.413863,507.704373,208.6245768,0.1,171.1248433,8.813139701,7.724,7287,0.548173361,-22.74023806,-254.0597302,105979,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,27,hardwoods,41.610805,-83.129766,322542,4608756,0.01348,0.12256,0.16109,0.013345,0.02813,0.05173,10.471168,1.498112,54.486944,S02666,W04141,50.5,25.4,NA,0.24,3,322.9,18.41,780.2142474,5740.821686,51.92400947,1953.186054,1049.021409,176.6419888,7232.637075,657.6361121,209.3622307,0.1,61.28649673,41.38798406,7.632,5800,0.575873611,-52.22786966,-374.2415866,111720,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,28,hardwoods,41.610265,-83.130097,322513,4608697,0.00615,0.07071,0.02719,0.013345,0.02813,0.05173,1.514069333,1.372362667,66.82677333,S02667,W04142,58,23.1,NA,1.28,16.1,329,18.91,784.6768428,6693.762904,70.62981289,3980.472425,317.4596394,186.1668375,11266.40247,537.1038173,242.3796636,0.1,161.4439817,57.27574956,7.448,9536,0.975826338,-10.71225815,-316.8237518,121372,NA,NA,NA,NA,NA,NA
MAGM,2022,20220719,rb,1,grasses,41.6054,-83.15367667,320534,4608205,0.01316,0.03905,0.01542,NA,NA,NA,-0.091330594,-0.211919703,-2.255738845,S02537,W04034,43,25.2,6.59,1.23,16.8,295.8,3.02,1036.636409,10889.66101,48.19952774,549.193231,266.7256985,12.82630208,6200.314837,1062.57379,141.0861865,NA,NA,NA,NA,NA,0.318795855,NA,NA,NA,5.07,4.98,0.39,0.18,6.02,3.76
MAGM,2022,20220719,rb,2,grasses,41.60562,-83.15365,320537,4608230,0.008315,0.026085,0.0119825,NA,NA,NA,NA,0.0394879,-0.8432745,S02538,W04035,54,26.6,6.63,4.31,62,308.2,38.61,869.7420294,5561.885011,53.84693566,490.7002744,269.133042,4.217289902,6237.422502,663.5836975,171.663787,NA,NA,NA,NA,NA,0.563238409,NA,NA,NA,NA,NA,0.49,0.53,32.08,31.24
MAGM,2022,20220719,rb,3,grasses,41.60597167,-83.15348167,320552,4608268,0.008035,0.030315,0.021715,NA,NA,NA,3.874681069,-0.387981968,-2.264256853,S02539,W04036,71,24.6,6.66,1.85,24.8,306.1,1.82,554.2214163,2250.303229,22.50968992,500.872093,418.0232558,53.21242079,5633.72093,409.2054264,146.7054264,NA,NA,NA,NA,NA,1.158550792,NA,NA,NA,0.75,1.95,0.64,0.26,3.98,1.72
